PixelNo,Wavelength,CCD_1,CCD_2,CCD_3,Calib_1,Calib_2,Calib_3,DarkSub_1,DarkSub_2,DarkSub_3,%T/R_1,%T/R_2,%T/R_3,Ref,Dark,Absorb_1,Absorb_2,Absorb_3,AbsIrrad_1,AbsIrrad_2,AbsIrrad_3
20,1.16E+03,5.66E+02,0.00E+00,0.00E+00,5.66E+02,0.00E+00,0.00E+00,5.66E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
21,1.16E+03,5.37E+02,0.00E+00,0.00E+00,5.37E+02,0.00E+00,0.00E+00,5.37E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
22,1.16E+03,5.61E+02,0.00E+00,0.00E+00,5.61E+02,0.00E+00,0.00E+00,5.61E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
23,1.16E+03,6.04E+02,0.00E+00,0.00E+00,6.04E+02,0.00E+00,0.00E+00,6.04E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
24,1.16E+03,5.77E+02,0.00E+00,0.00E+00,5.77E+02,0.00E+00,0.00E+00,5.77E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
25,1.16E+03,5.40E+02,0.00E+00,0.00E+00,5.40E+02,0.00E+00,0.00E+00,5.40E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
26,1.16E+03,5.54E+02,0.00E+00,0.00E+00,5.54E+02,0.00E+00,0.00E+00,5.54E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
27,1.16E+03,5.44E+02,0.00E+00,0.00E+00,5.44E+02,0.00E+00,0.00E+00,5.44E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
28,1.16E+03,5.43E+02,0.00E+00,0.00E+00,5.43E+02,0.00E+00,0.00E+00,5.43E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
29,1.16E+03,6.14E+02,0.00E+00,0.00E+00,6.14E+02,0.00E+00,0.00E+00,6.14E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
30,1.16E+03,5.74E+02,0.00E+00,0.00E+00,5.74E+02,0.00E+00,0.00E+00,5.74E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
31,1.16E+03,5.09E+02,0.00E+00,0.00E+00,5.09E+02,0.00E+00,0.00E+00,5.09E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
32,1.16E+03,5.05E+02,0.00E+00,0.00E+00,5.05E+02,0.00E+00,0.00E+00,5.05E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
33,1.16E+03,5.85E+02,0.00E+00,0.00E+00,5.85E+02,0.00E+00,0.00E+00,5.85E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
34,1.16E+03,5.85E+02,0.00E+00,0.00E+00,5.85E+02,0.00E+00,0.00E+00,5.85E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
